"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"87","4","-","6","1","0","66.66","2","caught","2","v West Indies","Chennai","11 Nov 2018"
"88","7","-","8","0","0","87.50","1","caught","2","v Australia","Brisbane","21 Nov 2018"
"89","TDNB","-","-","-","-","-","-","-","-","v Australia","Melbourne","23 Nov 2018"
"90","23","-","16","1","2","143.75","1","bowled","2","v Australia","Sydney","25 Nov 2018"
"91","1","10","5","0","0","20.00","1","caught","2","v New Zealand","Wellington","6 Feb 2019"
"92","50","40","29","3","4","172.41","1","caught","2","v New Zealand","Auckland","8 Feb 2019"
"93","38","63","32","3","0","118.75","2","caught","2","v New Zealand","Hamilton","10 Feb 2019"
"94","5","11","8","0","0","62.50","1","caught","1","v Australia","Visakhapatnam","24 Feb 2019"
"95","24","-","25","2","2","96.00","1","caught","2","v West Indies","Lauderhill","3 Aug 2019"
"96","67","-","51","6","3","131.37","1","caught","1","v West Indies","Lauderhill","4 Aug 2019"
"97","12","21","12","0","2","100.00","1","lbw","2","v South Africa","Mohali","18 Sep 2019"
"98","9","11","8","2","0","112.50","2","caught","1","v South Africa","Bengaluru","22 Sep 2019"
"99","9","-","5","2","0","180.00","1","lbw","1","v Bangladesh","Delhi","3 Nov 2019"
"100","85","-","43","6","6","197.67","1","caught","2","v Bangladesh","Rajkot","7 Nov 2019"
"101","2","-","6","0","0","33.33","1","bowled","1","v Bangladesh","Nagpur","10 Nov 2019"
"102","8","-","10","1","0","80.00","1","caught","2","v West Indies","Hyderabad (Deccan)","6 Dec 2019"
"103","15","-","18","2","0","83.33","1","bowled","1","v West Indies","Thiruvananthapuram","8 Dec 2019"
"104","71","-","34","6","5","208.82","1","caught","1","v West Indies","Mumbai","11 Dec 2019"
"105","7","-","6","0","1","116.66","1","caught","2","v New Zealand","Auckland","24 Jan 2020"
"106","8","3","6","2","0","133.33","1","caught","2","v New Zealand","Auckland","26 Jan 2020"
"107","65","50","40","6","3","162.50","1","caught","1","v New Zealand","Hamilton","29 Jan 2020"
"108","60*","-","41","3","3","146.34","3","retired notout","1","v New Zealand","Mount Maunganui","2 Feb 2020"
"109","15","22","17","2","0","88.23","1","caught","1","v England","Ahmedabad","16 Mar 2021"
"110","12","17","12","1","1","100.00","1","caught","1","v England","Ahmedabad","18 Mar 2021"
"111","64","42","34","4","5","188.23","1","bowled","1","v England","Ahmedabad","20 Mar 2021"
