"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"116","20","42","34","2","1","58.82","2","caught","2","v New Zealand","Hamilton","22 Jan 2014"
"117","39","65","38","1","4","102.63","1","caught","2","v New Zealand","Auckland","25 Jan 2014"
"118","79","131","94","6","4","84.04","1","caught","1","v New Zealand","Hamilton","28 Jan 2014"
"119","4","20","13","0","0","30.76","1","caught","2","v New Zealand","Wellington","31 Jan 2014"
"120","21","57","29","1","1","72.41","1","bowled","2","v Bangladesh","Fatullah","26 Feb 2014"
"121","13","37","28","1","0","46.42","1","lbw","1","v Sri Lanka","Fatullah","28 Feb 2014"
"122","56","86","58","7","2","96.55","1","caught","1","v Pakistan","Dhaka","2 Mar 2014"
"123","18*","36","24","1","0","75.00","3","not out","2","v Afghanistan","Dhaka","5 Mar 2014"
"124","52","126","87","4","1","59.77","1","caught","1","v England","Cardiff","27 Aug 2014"
"125","264","225","173","33","9","152.60","2","caught","1","v Sri Lanka","Kolkata","13 Nov 2014"
"126","9","18","12","2","0","75.00","2","bowled","2","v Sri Lanka","Ranchi","16 Nov 2014"
"127","138","228","139","9","4","99.28","1","caught","1","v Australia","Melbourne","18 Jan 2015"
"128","15","35","20","2","0","75.00","1","caught","1","v Pakistan","Adelaide","15 Feb 2015"
"129","0","13","6","0","0","0.00","1","run out","1","v South Africa","Melbourne","22 Feb 2015"
"130","57*","77","55","10","1","103.63","1","not out","2","v U.A.E.","Perth","28 Feb 2015"
"131","7","30","18","1","0","38.88","1","caught","2","v West Indies","Perth","6 Mar 2015"
"132","64","99","66","3","3","96.96","1","bowled","2","v Ireland","Hamilton","10 Mar 2015"
"133","16","24","21","2","0","76.19","1","caught","2","v Zimbabwe","Auckland","14 Mar 2015"
"134","137","223","126","14","3","108.73","1","bowled","1","v Bangladesh","Melbourne","19 Mar 2015"
"135","34","83","48","1","2","70.83","1","bowled","2","v Australia","Sydney","26 Mar 2015"
"136","63","100","68","4","1","92.64","1","caught","2","v Bangladesh","Dhaka","18 Jun 2015"
"137","0","1","2","0","0","0.00","1","caught","1","v Bangladesh","Dhaka","21 Jun 2015"
"138","29","34","29","2","1","100.00","1","caught","1","v Bangladesh","Dhaka","24 Jun 2015"
"139","150","215","133","13","6","112.78","1","caught","2","v South Africa","Kanpur","11 Oct 2015"
"140","3","6","10","0","0","30.00","1","bowled","1","v South Africa","Indore","14 Oct 2015"
"141","65","95","74","7","2","87.83","1","caught","2","v South Africa","Rajkot","18 Oct 2015"
"142","21","21","19","4","0","110.52","1","caught","1","v South Africa","Chennai","22 Oct 2015"
"143","16","21","20","3","0","80.00","1","caught","2","v South Africa","Mumbai","25 Oct 2015"
"144","171*","205","163","13","7","104.90","1","not out","1","v Australia","Perth","12 Jan 2016"
"145","124","175","127","11","3","97.63","1","run out","1","v Australia","Brisbane","15 Jan 2016"
"146","6","17","11","0","0","54.54","1","caught","1","v Australia","Melbourne","17 Jan 2016"
"147","41","28","25","2","3","164.00","1","caught","2","v Australia","Canberra","20 Jan 2016"
"148","99","142","108","9","1","91.66","1","caught","2","v Australia","Sydney","23 Jan 2016"
"149","14","44","26","1","1","53.84","1","lbw","2","v New Zealand","Dharamsala","16 Oct 2016"
"150","15","28","27","1","1","55.55","1","caught","2","v New Zealand","Delhi","20 Oct 2016"
"151","13","35","21","2","0","61.90","1","lbw","2","v New Zealand","Mohali","23 Oct 2016"
"152","11","15","19","2","0","57.89","2","caught","2","v New Zealand","Ranchi","26 Oct 2016"
"153","70","107","65","5","3","107.69","2","caught","1","v New Zealand","Visakhapatnam","29 Oct 2016"
"154","91","146","119","7","2","76.47","1","run out","1","v Pakistan","Birmingham","4 Jun 2017"
"155","78","107","79","6","3","98.73","1","caught","1","v Sri Lanka","The Oval","8 Jun 2017"
"156","12","23","20","1","1","60.00","1","caught","2","v South Africa","The Oval","11 Jun 2017"
"157","123*","165","129","15","1","95.34","1","not out","2","v Bangladesh","Birmingham","15 Jun 2017"
"158","0","4","3","0","0","0.00","1","lbw","2","v Pakistan","The Oval","18 Jun 2017"
"159","4","-","13","0","0","30.76","1","run out","2","v Sri Lanka","Dambulla","20 Aug 2017"
"160","54","-","45","5","3","120.00","1","lbw","2","v Sri Lanka","Pallekele","24 Aug 2017"
"161","124*","-","145","16","2","85.51","1","not out","2","v Sri Lanka","Pallekele","27 Aug 2017"
